No.,Planet Name,Planet Host,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period Days,Orbit Semi-Major Axis,Mass,Eccentricity,Insolation Flux,Equilibrium Temperature,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
2340,Kepler-1535 b,Kepler-1535,1,1,Transit,2016,Kepler,138.9442,,,,,,,6021,1.11,1.08,0,[Fe/H],4.38,897.733,14.1798
2341,Kepler-1536 b,Kepler-1536,1,1,Transit,2016,Kepler,364.758031,,,,,,,4434,0.67,0.71,0.05,[Fe/H],4.64,387.248,15.1407
2342,Kepler-1537 b,Kepler-1537,1,1,Transit,2016,Kepler,1.4444538,,,,,,,5079,0.77,0.81,-0.08,[Fe/H],4.58,517.292,14.5457
2343,Kepler-1538 b,Kepler-1538,1,1,Transit,2016,Kepler,175.138819,,,,,,,5837,1.03,1.03,0.02,[Fe/H],4.42,1125.3,15.2279
2344,Kepler-1539 b,Kepler-1539,1,1,Transit,2016,Kepler,133.3036741,,,,,,,5176,0.8,0.84,-0.01,[Fe/H],4.57,748.326,15.3085
2345,Kepler-154 b,Kepler-154,1,5,Transit,2014,Kepler,33.040532,0.198,,,,,,5690,1,,,,4.42,915.212,14.5121
2346,Kepler-154 c,Kepler-154,1,5,Transit,2014,Kepler,62.303276,0.303,,,,,,5690,1,,,,4.42,915.212,14.5121
2347,Kepler-154 d,Kepler-154,1,5,Transit,2016,Kepler,20.54981883,,,,,,,5769,0.98,0.98,-0.04,[Fe/H],4.45,915.212,14.5121
2348,Kepler-154 e,Kepler-154,1,5,Transit,2016,Kepler,3.93276465,,,,,,,5769,0.98,0.98,-0.04,[Fe/H],4.45,915.212,14.5121
2349,Kepler-154 f,Kepler-154,1,5,Transit,2016,Kepler,9.91935684,,,,,,,5769,0.98,0.98,-0.04,[Fe/H],4.45,915.212,14.5121
2350,Kepler-1540 b,Kepler-1540,2,1,Transit,2016,Kepler,125.4131177,,,,,,,4540,0.69,0.74,0.1,[Fe/H],4.63,244.96,14.0831
2351,Kepler-1541 b,Kepler-1541,1,1,Transit,2016,Kepler,8.40691199,,,,,,,5282,0.81,0.86,-0.04,[Fe/H],4.56,416.692,13.7908
2352,Kepler-1542 b,Kepler-1542,1,4,Transit,2016,Kepler,3.95116882,,,,,,,5564,0.99,0.94,0.06,[Fe/H],4.41,399.114,12.5876
2353,Kepler-1542 c,Kepler-1542,1,4,Transit,2016,Kepler,2.89223021,,,,,,,5564,0.99,0.94,0.06,[Fe/H],4.41,399.114,12.5876
2354,Kepler-1542 d,Kepler-1542,1,4,Transit,2016,Kepler,5.99273738,,,,,,,5564,0.99,0.94,0.06,[Fe/H],4.41,399.114,12.5876
2355,Kepler-1542 e,Kepler-1542,1,4,Transit,2016,Kepler,5.10115756,,,,,,,5564,0.99,0.94,0.06,[Fe/H],4.41,399.114,12.5876
2356,Kepler-1543 b,Kepler-1543,1,1,Transit,2016,Kepler,6.96710269,,,,,,,6561,1.65,1.39,0.07,[Fe/H],4.14,921.784,13.4193
2357,Kepler-1544 b,Kepler-1544,1,1,Transit,2016,Kepler,168.811174,,,,,,,4886,0.74,0.81,0.02,[Fe/H],4.61,335.09,14.039
2358,Kepler-1545 b,Kepler-1545,1,1,Transit,2016,Kepler,163.692349,,,,,,,5201,0.8,0.84,-0.06,[Fe/H],4.57,729.964,15.0334
2359,Kepler-1546 b,Kepler-1546,1,1,Transit,2016,Kepler,19.5974971,,,,,,,5623,0.93,0.95,0.01,[Fe/H],4.48,931.956,15.368
2360,Kepler-1547 b,Kepler-1547,1,1,Transit,2016,Kepler,0.69297968,,,,,,,6078,1.18,1.12,0.04,[Fe/H],4.34,674.695,13.4085
2361,Kepler-1548 b,Kepler-1548,1,1,Transit,2016,Kepler,124.828679,,,,,,,5706,0.97,0.99,0.05,[Fe/H],4.46,872.279,15.2455
2362,Kepler-1549 b,Kepler-1549,1,1,Transit,2016,Kepler,214.886545,,,,,,,5324,0.84,0.88,0.02,[Fe/H],4.54,803.052,15.1516
2363,Kepler-155 b,Kepler-155,1,2,Transit,2014,Kepler,5.931194,0.056,,,,,,4508,0.62,,,,4.68,293.499,14.24
2364,Kepler-155 c,Kepler-155,1,2,Transit,2014,Kepler,52.661793,0.242,,,,,,4508,0.62,,,,4.68,293.499,14.24
2365,Kepler-1550 b,Kepler-1550,1,1,Transit,2016,Kepler,225.582809,,,,,,,5991,1.11,1.07,0.01,[Fe/H],4.38,1179.01,14.8841
2366,Kepler-1551 b,Kepler-1551,1,1,Transit,2016,Kepler,24.4973698,,,,,,,6136,1.22,1.14,0.01,[Fe/H],4.32,1463.72,15.0975
2367,Kepler-1552 b,Kepler-1552,1,1,Transit,2016,Kepler,184.771853,,,,,,,5202,0.78,0.85,-0.07,[Fe/H],4.58,769.096,14.9308
2368,Kepler-1553 b,Kepler-1553,1,1,Transit,2016,Kepler,4.24261881,,,,,,,5288,0.81,0.85,-0.09,[Fe/H],4.56,692.594,14.9914
2369,Kepler-1554 b,Kepler-1554,1,1,Transit,2016,Kepler,198.088774,,,,,,,5297,0.81,0.84,-0.1,[Fe/H],4.56,946.847,15.7147
2370,Kepler-1555 b,Kepler-1555,1,1,Transit,2016,Kepler,8.10501635,,,,,,,5866,1.06,1.04,0.03,[Fe/H],4.4,2013.27,15.3259
2371,Kepler-1556 b,Kepler-1556,1,1,Transit,2016,Kepler,8.82713457,,,,,,,5608,0.95,0.97,0.08,[Fe/H],4.47,944.54,15.2978
2372,Kepler-1557 b,Kepler-1557,1,1,Transit,2016,Kepler,3.74032496,,,,,,,6099,1.17,1.11,0.02,[Fe/H],4.34,1380.16,15.2987
2373,Kepler-1558 b,Kepler-1558,1,1,Transit,2016,Kepler,3.50470358,,,,,,,5101,0.79,0.83,0,[Fe/H],4.57,325.737,13.5998
2374,Kepler-1559 b,Kepler-1559,1,1,Transit,2016,Kepler,0.97191543,,,,,,,5316,0.82,0.86,-0.04,[Fe/H],4.55,614.827,14.488
2375,Kepler-156 b,Kepler-156,1,2,Transit,2014,Kepler,4.973456,0.054,,,,,,5094,0.81,,,,4.55,443.483,14.1564
2376,Kepler-156 c,Kepler-156,1,2,Transit,2014,Kepler,15.906801,0.117,,,,,,5094,0.81,,,,4.55,443.483,14.1564
2377,Kepler-1560 b,Kepler-1560,1,1,Transit,2016,Kepler,3.03195744,,,,,,,5815,1.02,1.02,0.04,[Fe/H],4.43,502.497,13.3846
2378,Kepler-1561 b,Kepler-1561,1,1,Transit,2016,Kepler,1.00520701,,,,,,,5957,1.11,1.07,0.04,[Fe/H],4.38,839.076,14.648
2379,Kepler-1562 b,Kepler-1562,1,1,Transit,2016,Kepler,64.2737752,,,,,,,5760,1.05,1.02,0.11,[Fe/H],4.41,2060.72,15.2729
2380,Kepler-1563 b,Kepler-1563,1,1,Transit,2016,Kepler,3.43276598,,,,,,,5765,0.99,1,0.02,[Fe/H],4.45,616.697,13.5682
2381,Kepler-1564 b,Kepler-1564,1,1,Transit,2016,Kepler,18.0540381,,,,,,,5528,0.9,0.93,0.03,[Fe/H],4.5,908.805,14.9531
2382,Kepler-1565 b,Kepler-1565,1,1,Transit,2016,Kepler,1.53818844,,,,,,,4940,0.73,0.76,-0.16,[Fe/H],4.6,629.93,15.4317
2383,Kepler-1566 b,Kepler-1566,1,1,Transit,2016,Kepler,0.53991524,,,,,,,5254,0.81,0.84,-0.07,[Fe/H],4.56,466.586,14.3122
2384,Kepler-1567 b,Kepler-1567,1,1,Transit,2016,Kepler,153.979578,,,,,,,5655,0.93,0.95,-0.03,[Fe/H],4.49,1206.11,15.6322
2385,Kepler-1568 b,Kepler-1568,1,1,Transit,2016,Kepler,20.925392,,,,,,,5956,1.19,1.09,0.09,[Fe/H],4.32,916.313,13.9451
2386,Kepler-1569 b,Kepler-1569,1,1,Transit,2016,Kepler,5.79180156,,,,,,,6319,1.4,1.25,0.06,[Fe/H],4.24,945.454,13.9323
2387,Kepler-157 b,Kepler-157,1,3,Transit,2014,Kepler,1.732342,0.028,,,,,,5774,1.04,,,,4.39,773.713,14.0374
2388,Kepler-157 c,Kepler-157,1,3,Transit,2014,Kepler,13.5405,0.11,,,,,,5774,1.04,,,,4.39,773.713,14.0374
2389,Kepler-157 d,Kepler-157,1,3,Transit,2016,Kepler,7.02573474,,,,,,,5866,1.03,1.02,-0.01,[Fe/H],4.42,773.713,14.0374
2390,Kepler-1570 b,Kepler-1570,1,1,Transit,2016,Kepler,26.548955,,,,,,,5550,0.89,0.92,-0.04,[Fe/H],4.5,918.995,13.9702
2391,Kepler-1571 b,Kepler-1571,1,1,Transit,2016,Kepler,3.38555488,,,,,,,6297,1.39,1.23,0.04,[Fe/H],4.24,675.303,13.77
2392,Kepler-1572 b,Kepler-1572,1,1,Transit,2016,Kepler,5.49548621,,,,,,,5618,0.95,0.97,0.08,[Fe/H],4.47,946.602,13.7175
2393,Kepler-1573 b,Kepler-1573,1,1,Transit,2016,Kepler,2.6157554,,,,,,,5808,1,1.01,0.02,[Fe/H],4.44,1455.36,15.1693
2394,Kepler-1574 b,Kepler-1574,1,1,Transit,2016,Kepler,6.9424334,,,,,,,5892,1.08,1.06,0.08,[Fe/H],4.4,1384.16,15.0937
2395,Kepler-1575 b,Kepler-1575,1,1,Transit,2016,Kepler,2.55314213,,,,,,,5667,0.92,0.95,-0.07,[Fe/H],4.49,1246.92,15.4185
2396,Kepler-1576 b,Kepler-1576,1,1,Transit,2016,Kepler,6.98471973,,,,,,,5876,1.06,1.05,0.05,[Fe/H],4.4,460.91,13.3354
2397,Kepler-1577 b,Kepler-1577,1,1,Transit,2016,Kepler,6.30560247,,,,,,,4862,0.74,0.78,0,[Fe/H],4.6,510.029,15.0571
2398,Kepler-1578 b,Kepler-1578,1,1,Transit,2016,Kepler,1.45088691,,,,,,,5545,0.86,0.9,-0.13,[Fe/H],4.53,1064.05,15.3281
2399,Kepler-1579 b,Kepler-1579,1,1,Transit,2016,Kepler,0.84990789,,,,,,,4584,0.7,0.75,0.11,[Fe/H],4.63,,15.2481
2400,Kepler-158 b,Kepler-158,1,2,Transit,2014,Kepler,16.709184,0.111,,,,,,4623,0.62,,,,4.66,315.177,14.4165
2401,Kepler-158 c,Kepler-158,1,2,Transit,2014,Kepler,28.551383,0.158,,,,,,4623,0.62,,,,4.66,315.177,14.4165
2402,Kepler-1580 b,Kepler-1580,1,1,Transit,2016,Kepler,56.6449279,,,,,,,6228,2.15,1.47,0.12,[Fe/H],3.94,1002.02,12.5755
2403,Kepler-1581 b,Kepler-1581,1,1,Transit,2016,Kepler,6.28385491,,,,,,,6022,1.23,1.12,0.07,[Fe/H],4.31,493.175,12.3525
2404,Kepler-1582 b,Kepler-1582,1,1,Transit,2016,Kepler,4.83817712,,,,,,,3208,0.3,0.28,0.48,[Fe/H],4.93,78.8906,16.4142
2405,Kepler-1583 b,Kepler-1583,1,1,Transit,2016,Kepler,9.32807355,,,,,,,5645,0.91,0.94,-0.07,[Fe/H],4.49,403.933,12.8414
2406,Kepler-1584 b,Kepler-1584,1,1,Transit,2016,Kepler,13.3997099,,,,,,,6069,1.13,1.1,0,[Fe/H],4.37,1416.31,14.8844
2407,Kepler-1585 b,Kepler-1585,1,1,Transit,2016,Kepler,3.5827463,,,,,,,5538,0.91,0.94,0.08,[Fe/H],4.5,944.465,15.9772
2408,Kepler-1586 b,Kepler-1586,1,1,Transit,2016,Kepler,15.6049212,,,,,,,6681,1.75,1.45,0.06,[Fe/H],4.12,552.55,13.0556
2409,Kepler-1587 b,Kepler-1587,1,1,Transit,2016,Kepler,9.4060467,,,,,,,5933,1.22,1.08,0.07,[Fe/H],4.3,1026.48,14.0315
2410,Kepler-1588 b,Kepler-1588,1,1,Transit,2016,Kepler,7.84931739,,,,,,,5817,0.99,0.96,-0.14,[Fe/H],4.43,924.141,13.821
2411,Kepler-1589 b,Kepler-1589,1,1,Transit,2016,Kepler,0.99166527,,,,,,,6166,1.25,1.18,0.08,[Fe/H],4.32,1513.14,14.9651
2412,Kepler-159 b,Kepler-159,1,2,Transit,2014,Kepler,10.139623,0.082,,,,,,4625,0.66,,,,4.65,373.744,14.8882
2413,Kepler-159 c,Kepler-159,1,2,Transit,2014,Kepler,43.595792,0.218,,,,,,4625,0.66,,,,4.65,373.744,14.8882
2414,Kepler-1590 b,Kepler-1590,1,1,Transit,2016,Kepler,7.61760804,,,,,,,6053,1.16,1.11,0.03,[Fe/H],4.35,771.152,14.077
2415,Kepler-1591 b,Kepler-1591,1,1,Transit,2016,Kepler,8.18504949,,,,,,,6082,1.16,1.1,0.01,[Fe/H],4.35,1419.58,14.6583
2416,Kepler-1592 b,Kepler-1592,1,1,Transit,2016,Kepler,3.05710069,,,,,,,6213,1.28,1.18,0.04,[Fe/H],4.29,1639.47,14.7857
2417,Kepler-1593 b,Kepler-1593,1,1,Transit,2016,Kepler,174.509835,,,,,,,4995,0.77,0.81,0.02,[Fe/H],4.59,638.249,15.8836
2418,Kepler-1594 b,Kepler-1594,1,1,Transit,2016,Kepler,2.71603809,,,,,,,5946,1.08,1.06,0.03,[Fe/H],4.39,976.868,14.7415
2419,Kepler-1595 b,Kepler-1595,1,1,Transit,2016,Kepler,4.56380468,,,,,,,5203,0.8,0.84,-0.02,[Fe/H],4.56,845.022,15.4006
2420,Kepler-1596 b,Kepler-1596,1,1,Transit,2016,Kepler,66.373379,,,,,,,5706,0.92,0.95,-0.11,[Fe/H],4.49,2146.23,15.3662
2421,Kepler-1597 b,Kepler-1597,1,1,Transit,2016,Kepler,2.94654179,,,,,,,6377,1.39,1.25,0.02,[Fe/H],4.24,1221.05,14.1152
2422,Kepler-1598 b,Kepler-1598,1,1,Transit,2016,Kepler,4.34195123,,,,,,,5940,1.09,1.07,0.04,[Fe/H],4.39,619.862,13.8135
2423,Kepler-1599 b,Kepler-1599,1,1,Transit,2016,Kepler,122.363553,,,,,,,5767,0.99,0.99,0.02,[Fe/H],4.45,1328.2,14.9023
2424,Kepler-16 b,Kepler-16,2,1,Transit,2011,Kepler,228.776,0.7048,105.833,0.0069,,,,4450,0.65,0.69,-0.3,[m/H],4.65,75.0852,11.7472
2425,Kepler-160 b,Kepler-160,1,3,Transit,2014,Kepler,4.309397,0.05511,,,,,,5471,1.12,,,,,937.013,14.616
2426,Kepler-160 c,Kepler-160,1,3,Transit,2014,Kepler,13.699429,0.1192,,,,,,5471,1.12,,,,,937.013,14.616
2427,Kepler-160 d,Kepler-160,1,3,Transit Timing Variations,2020,Kepler,30,0.17,100,,,,,5471,1.12,,,,,937.013,14.616
2428,Kepler-1600 b,Kepler-1600,1,1,Transit,2016,Kepler,386.370548,,,,,,,5214,0.82,0.86,0.07,[Fe/H],4.55,1030.81,15.8138
2429,Kepler-1601 b,Kepler-1601,1,1,Transit,2016,Kepler,2.20921951,,,,,,,5869,1.07,1.04,0.05,[Fe/H],4.4,644.456,13.6782
2430,Kepler-1602 b,Kepler-1602,1,1,Transit,2016,Kepler,11.17931605,,,,,,,6296,1.36,1.22,0.02,[Fe/H],4.25,629.804,13.3012
2431,Kepler-1603 b,Kepler-1603,1,1,Transit,2016,Kepler,2.27163926,,,,,,,6241,1.31,1.21,0.07,[Fe/H],4.28,2712.58,15.3397
2432,Kepler-1604 b,Kepler-1604,1,1,Transit,2016,Kepler,0.68368426,,,,,,,4976,0.76,0.81,0.02,[Fe/H],4.59,541.189,14.8989
2433,Kepler-1605 b,Kepler-1605,1,1,Transit,2016,Kepler,85.7565495,,,,,,,5280,0.82,0.86,-0.01,[Fe/H],4.55,546.23,12.4129
2434,Kepler-1606 b,Kepler-1606,1,1,Transit,2016,Kepler,196.435224,,,,,,,5422,0.86,0.9,0.01,[Fe/H],4.53,831.287,15.1062
2435,Kepler-1607 b,Kepler-1607,1,1,Transit,2016,Kepler,13.6473676,,,,,,,6116,1.21,1.14,0.05,[Fe/H],4.33,1286.1,13.8751
2436,Kepler-1608 b,Kepler-1608,1,1,Transit,2016,Kepler,16.4735686,,,,,,,4992,0.72,0.75,-0.24,[Fe/H],4.61,,15.8947
2437,Kepler-1609 b,Kepler-1609,1,1,Transit,2016,Kepler,114.34219,,,,,,,6132,1.27,1.18,0.1,[Fe/H],4.29,1826.04,14.9366
2438,Kepler-161 b,Kepler-161,1,2,Transit,2014,Kepler,4.921355,0.054,,,,,,5078,0.81,,,,4.55,434.632,14.1922
2439,Kepler-161 c,Kepler-161,1,2,Transit,2014,Kepler,7.06424,0.068,,,,,,5078,0.81,,,,4.55,434.632,14.1922
2440,Kepler-1610 b,Kepler-1610,1,1,Transit,2016,Kepler,8.70181574,,,,,,,5383,0.87,0.91,0.1,[Fe/H],4.52,864.331,15.8137
2441,Kepler-1611 b,Kepler-1611,1,1,Transit,2016,Kepler,5.1762429,,,,,,,5605,0.93,0.94,0.01,[Fe/H],4.49,908.444,14.4116
2442,Kepler-1612 b,Kepler-1612,1,1,Transit,2016,Kepler,3.91795101,,,,,,,5643,0.94,0.96,0.03,[Fe/H],4.48,764.726,14.7157
2443,Kepler-1613 b,Kepler-1613,1,1,Transit,2016,Kepler,1.5184299,,,,,,,6005,1.12,1.08,0.01,[Fe/H],4.37,1508.33,14.068
2444,Kepler-1614 b,Kepler-1614,1,1,Transit,2016,Kepler,3.9466141,,,,,,,5121,0.76,0.79,-0.17,[Fe/H],4.58,1191.19,15.9408
2445,Kepler-1615 b,Kepler-1615,1,1,Transit,2016,Kepler,47.3126192,,,,,,,5865,1.05,1.04,0.06,[Fe/H],4.42,1393.83,14.5237
2446,Kepler-1616 b,Kepler-1616,1,1,Transit,2016,Kepler,6.76284377,,,,,,,6266,1.34,1.21,0.02,[Fe/H],4.26,1137.81,13.4295
2447,Kepler-1617 b,Kepler-1617,1,1,Transit,2016,Kepler,27.4785572,,,,,,,6167,1.22,1.15,0.01,[Fe/H],4.32,898.31,13.6555
2448,Kepler-1618 b,Kepler-1618,1,1,Transit,2016,Kepler,6.10826019,,,,,,,6620,1.65,1.41,0.04,[Fe/H],4.15,1229.25,13.5664
2449,Kepler-1619 b,Kepler-1619,1,1,Transit,2016,Kepler,23.6225913,,,,,,,5852,1,1,-0.07,[Fe/H],4.44,734.85,13.2994
2450,Kepler-162 b,Kepler-162,1,2,Transit,2014,Kepler,6.919798,0.069,,,,,,5816,0.96,,,,4.44,855.641,14.2231
2451,Kepler-162 c,Kepler-162,1,2,Transit,2014,Kepler,19.446355,0.137,,,,,,5816,0.96,,,,4.44,855.641,14.2231
2452,Kepler-1620 b,Kepler-1620,1,1,Transit,2016,Kepler,101.951829,,,,,,,6157,1.23,1.15,0.03,[Fe/H],4.31,895.069,13.6228
2453,Kepler-1621 b,Kepler-1621,1,1,Transit,2016,Kepler,92.263714,,,,,,,6158,1.24,1.15,0.03,[Fe/H],4.31,1631.66,15.0106
2454,Kepler-1622 b,Kepler-1622,1,1,Transit,2016,Kepler,10.8118737,,,,,,,6436,1.5,1.31,0.04,[Fe/H],4.2,796.477,13.3442
2455,Kepler-1623 b,Kepler-1623,1,1,Transit,2016,Kepler,4.36128348,,,,,,,5772,1,1,0.04,[Fe/H],4.44,837.481,14.9243
2456,Kepler-1624 b,Kepler-1624,1,1,Transit,2016,Kepler,3.29030452,,,,,,,3636,0.47,0.5,0.06,[Fe/H],4.78,258.979,15.6681
2457,Kepler-1625 b,Kepler-1625,1,1,Transit,2016,Kepler,287.378949,,,,,,,5677,0.94,0.96,0.01,[Fe/H],4.48,2310.11,15.7627
2458,Kepler-1626 b,Kepler-1626,1,1,Transit,2016,Kepler,4.13962966,,,,,,,6826,1.85,1.51,0.04,[Fe/H],4.08,1368.83,14.2242
2459,Kepler-1627 b,Kepler-1627,1,1,Transit,2016,Kepler,7.20283653,,,,,,,5445,0.84,0.87,-0.1,[Fe/H],4.54,317.437,13.0492
2460,Kepler-1628 b,Kepler-1628,1,1,Transit,2016,Kepler,76.378033,,,,,,,3724,0.52,0.55,0.17,[Fe/H],4.74,,16.9534
2461,Kepler-1629 b,Kepler-1629,1,1,Transit,2016,Kepler,3.87595807,,,,,,,5776,1.01,1.01,0.05,[Fe/H],4.44,336.09,12.7136
2462,Kepler-163 b,Kepler-163,1,2,Transit,2014,Kepler,7.810937,0.078,,,,,,5776,0.92,,,,4.52,689.814,14.3796
2463,Kepler-163 c,Kepler-163,1,2,Transit,2014,Kepler,21.347262,0.152,,,,,,5776,0.92,,,,4.52,689.814,14.3796
2464,Kepler-1630 b,Kepler-1630,1,1,Transit,2016,Kepler,509.997402,,,,,,,4736,0.63,0.66,-0.46,[Fe/H],4.66,331.213,14.2049
2465,Kepler-1631 b,Kepler-1631,1,1,Transit,2016,Kepler,4.09513932,,,,,,,5679,0.95,0.97,0.04,[Fe/H],4.47,1305.99,15.4951
2466,Kepler-1632 b,Kepler-1632,1,1,Transit,2016,Kepler,448.303558,,,,,,,6137,1.19,1.12,0,[Fe/H],4.33,716.76,13.066
2467,Kepler-1633 b,Kepler-1633,1,1,Transit,2016,Kepler,186.404271,,,,,,,6256,1.32,1.2,0.02,[Fe/H],4.27,1114.91,13.3918
2468,Kepler-1634 b,Kepler-1634,1,1,Transit,2016,Kepler,374.876239,,,,,,,5474,0.89,0.92,0.02,[Fe/H],4.51,617.339,14.486
2469,Kepler-1635 b,Kepler-1635,1,1,Transit,2016,Kepler,469.63111,,,,,,,5347,0.85,0.89,0.06,[Fe/H],4.53,1069.45,15.6928
2470,Kepler-1636 b,Kepler-1636,1,1,Transit,2016,Kepler,425.47785,,,,,,,5797,1.02,1.01,0.03,[Fe/H],4.43,1947.54,15.7916
2471,Kepler-1637 b,Kepler-1637,1,1,Transit,2016,Kepler,6.10960324,,,,,,,5789,1.02,1.02,0.07,[Fe/H],4.43,567.187,13.2726
2472,Kepler-1638 b,Kepler-1638,1,1,Transit,2016,Kepler,259.33683,,,,,,,5710,0.95,0.97,-0.01,[Fe/H],4.47,1525.52,14.7479
2473,Kepler-1639 b,Kepler-1639,1,1,Transit,2016,Kepler,9.878482,,,,,,,6150,1.18,1.12,-0.03,[Fe/H],4.34,1031.31,14.4686
2474,Kepler-164 b,Kepler-164,1,3,Transit,2014,Kepler,5.03503,0.058,,,,,,5888,1.15,,,,4.33,890.758,14.2329
2475,Kepler-164 c,Kepler-164,1,3,Transit,2014,Kepler,10.945723,0.097,,,,,,5888,1.15,,,,4.33,890.758,14.2329
2476,Kepler-164 d,Kepler-164,1,3,Transit,2014,Kepler,28.986769,0.187,,,,,,5888,1.15,,,,4.33,890.758,14.2329
2477,Kepler-1640 b,Kepler-1640,1,1,Transit,2016,Kepler,7.5844126,,,,,,,6324,1.43,1.27,0.1,[Fe/H],4.23,1859.78,14.9622
2478,Kepler-1641 b,Kepler-1641,1,2,Transit,2016,Kepler,19.672266,,,,,,,6152,1.19,1.12,-0.02,[Fe/H],4.34,860.37,14.2231
2479,Kepler-1641 c,Kepler-1641,1,2,Transit,2016,Kepler,32.657212,,,,,,,6152,1.19,1.12,-0.02,[Fe/H],4.34,860.37,14.2231
2480,Kepler-1642 b,Kepler-1642,1,2,Transit,2016,Kepler,12.2057513,,,,,,,5355,0.84,0.88,-0.01,[Fe/H],4.54,413.873,14.1012
2481,Kepler-1642 c,Kepler-1642,1,2,Transit,2016,Kepler,6.6513802,,,,,,,5355,0.84,0.88,-0.01,[Fe/H],4.54,413.873,14.1012
2482,Kepler-1643 b,Kepler-1643,1,1,Transit,2016,Kepler,5.34264507,,,,,,,5508,0.88,0.92,-0.01,[Fe/H],4.52,341.774,13.8271
2483,Kepler-1644 b,Kepler-1644,1,1,Transit,2016,Kepler,21.0907758,,,,,,,5499,0.86,0.89,-0.1,[Fe/H],4.53,629.27,14.1827
2484,Kepler-1645 b,Kepler-1645,1,1,Transit,2016,Kepler,16.1779561,,,,,,,5812,1.02,1.02,0.04,[Fe/H],4.43,1202.47,14.4405
2485,Kepler-1646 b,Kepler-1646,1,1,Transit,2016,Kepler,4.48558383,,,,,,,3299,0.26,0.24,0.04,[Fe/H],5.01,127.591,15.6554
2486,Kepler-1647 b,Kepler-1647,2,1,Transit,2016,Kepler,1107.5923,2.7205,483,0.0581,,,,6210,1.79,1.22,-0.14,[Fe/H],4.02,1212.45,13.579
2487,Kepler-1649 b,Kepler-1649,1,2,Transit,2017,Kepler,8.689099,,,,2.21,307,,3240,0.23,0.2,-0.15,[M/H],5,92.1913,16.2682
2488,Kepler-1649 c,Kepler-1649,1,2,Transit,2020,Kepler,19.53527,,,,0.75,234,,3240,0.23,0.2,-0.15,[M/H],5,92.1913,16.2682
2489,Kepler-165 b,Kepler-165,1,2,Transit,2014,Kepler,8.180848,0.072,,,,,,5211,0.77,,,,4.54,560.885,14.7945
2490,Kepler-165 c,Kepler-165,1,2,Transit,2014,Kepler,15.31299,0.11,,,,,,5211,0.77,,,,4.54,560.885,14.7945
2491,Kepler-1650 b,Kepler-1650,1,1,Transit,2017,Kepler,1.53818001,,,0.01,,,,3410,0.33,0.33,-0.11,[Fe/H],,134.397,15.7393
2492,Kepler-1651 b,Kepler-1651,2,1,Transit,2017,Kepler,9.87863917,,,0.13,,,,3713,0.5,0.52,-0.16,[Fe/H],,66.4074,13.0716
2493,Kepler-1652 b,Kepler-1652,1,1,Transit,2017,Kepler,38.09722,0.1654,,,0.81,268,,3638,0.38,0.4,-0.3,[Fe/H],4.88,,16.0023
2494,Kepler-1653 b,Kepler-1653,1,1,Transit,2017,Kepler,140.2524,0.4706,,,0.98,284,,4807,0.69,0.72,-0.18,[Fe/H],4.62,,
2495,Kepler-1654 b,Kepler-1654,1,1,Transit,2018,Kepler,1047.8356,2.026,158.915,0.26,0.3,206,G5 V,5597,1.18,1.01,-0.088,[Fe/H],4.3,568.117,13.4057
2496,Kepler-1655 b,Kepler-1655,1,1,Transit,2018,Kepler,11.8728787,0.103,5,,155,,G0 V,6148,1.03,1.03,-0.24,[Fe/H],4.36,213.26,11.0141
2497,Kepler-1656 b,Kepler-1656,1,1,Transit,2018,Kepler,31.578659,0.197,48.6,0.836,,651,,5731,1.1,1.03,0.19,[Fe/H],4.37,185.875,11.0622
2498,Kepler-1658 b,Kepler-1658,1,1,Transit,2019,Kepler,3.84937278,0.0544,1868.8404,0.0628,,,,6216,2.89,1.45,-0.18,[m/H],3.67,788.238,11.42
2499,Kepler-166 b,Kepler-166,1,3,Transit,2014,Kepler,7.650254,0.072,,,,,,5413,0.74,,,,4.62,603.53,14.6848
2500,Kepler-166 c,Kepler-166,1,3,Transit,2014,Kepler,34.260281,0.195,,,,,,5413,0.74,,,,4.62,603.53,14.6848
2501,Kepler-166 d,Kepler-166,1,3,Transit,2016,Kepler,1.55400393,,,,,,,5350,0.83,0.88,-0.03,[Fe/H],4.55,603.53,14.6848
2502,Kepler-1661 b,Kepler-1661,2,1,Transit,2020,Kepler,175.06,0.633,17,0.057,0.88,243,K,5100,0.76,0.84,-0.12,[M/H],4.66,410.607,14.1933
2503,Kepler-1663 b,Kepler-1663,1,1,Transit,2020,Kepler,17.6046,,,,,,,3844,0.63,0.61,,,4.63,337.926,15.6164
2504,Kepler-1664 b,Kepler-1664,1,1,Transit,2020,Kepler,14.3868,,,,,,,5735.81,,,0.37,[M/H],,626.691,13.5307
2505,Kepler-1665 b,Kepler-1665,1,1,Transit,2020,Kepler,11.9548,,,,,,,5049.84,0.78,0.84,-0.013,[M/H],4.58,335.515,13.5913
2506,Kepler-1666 b,Kepler-1666,1,2,Transit,2020,Kepler,25.8476,,,,,,,6293,1.15,1.23,,,4.41,1379.37,15.0151
2507,Kepler-1666 c,Kepler-1666,1,2,Transit,2020,Kepler,40.7157,,,,,,,6293,1.15,1.23,,,4.41,1379.37,15.0151
